source,quality_ladder,horizon,n,hit,miss,push,open,scored_n,hit_rate_ex_push,low_n_cell,low_scored_n
Farrell,Directional,15-30d,2,0,0,0,2,0,,true,true
Farrell,Directional,61-120d,2,0,0,0,2,0,,true,true
Farrell,Directional,unknown,1,0,0,0,1,0,,true,true
Farrell,Target,0-14d,1,0,0,0,1,0,,true,true
Farrell,Target,15-30d,1,0,0,0,1,0,,true,true
Farrell,Target,31-60d,4,0,0,0,4,0,,true,true
Farrell,Vague,0-14d,7,0,0,0,7,0,,true,true
Farrell,Vague,15-30d,4,0,0,0,4,0,,true,true
Farrell,Vague,31-60d,4,0,0,0,4,0,,true,true
Farrell,Vague,unknown,5,0,0,0,5,0,,true,true
Lee,Directional,121d+,3,0,0,0,3,0,,true,true
Lee,Directional,15-30d,40,0,0,0,40,0,,false,true
Lee,Specific,0-14d,1,0,0,0,1,0,,true,true
Lee,Target,0-14d,2,0,0,0,2,0,,true,true
Lee,Target,15-30d,2,0,0,0,2,0,,true,true
Lee,Vague,0-14d,2,0,0,0,2,0,,true,true
Lee,Vague,15-30d,7,0,0,0,7,0,,true,true
Lee,Vague,31-60d,1,0,0,0,1,0,,true,true
Newton,Directional,0-14d,2,0,0,0,2,0,,true,true
Newton,Directional,121d+,2,0,0,0,2,0,,true,true
Newton,Directional,15-30d,10,0,0,0,10,0,,true,true
Newton,Directional,31-60d,2,0,0,0,2,0,,true,true
Newton,Directional,61-120d,10,0,0,0,10,0,,true,true
Newton,Specific,0-14d,3,0,0,0,3,0,,true,true
Newton,Specific,15-30d,4,0,0,0,4,0,,true,true
Newton,Specific,31-60d,2,0,0,0,2,0,,true,true
Newton,Target,0-14d,10,0,0,0,10,0,,true,true
Newton,Target,121d+,2,0,0,0,2,0,,true,true
Newton,Target,15-30d,18,0,2,0,16,2,0.000000,false,true
Newton,Target,31-60d,10,0,1,0,9,1,0.000000,true,true
Newton,Target,61-120d,3,0,0,0,3,0,,true,true
Newton,Vague,0-14d,6,0,0,0,6,0,,true,true
Newton,Vague,15-30d,5,0,0,0,5,0,,true,true
Newton,Vague,31-60d,5,0,0,0,5,0,,true,true
Newton,Vague,61-120d,1,0,0,0,1,0,,true,true
Other,Directional,121d+,5,0,0,0,5,0,,true,true
Other,Target,15-30d,2,0,0,0,2,0,,true,true
Other,Vague,31-60d,7,0,0,0,7,0,,true,true
Other,Vague,61-120d,6,0,0,0,6,0,,true,true
unknown,Unknown,unknown,4,0,0,0,4,0,,true,true
